cve,published,severity,reporter,explicit_ai,ai_affiliated,ai_evidence_url,fuzz,affected_versions,source_discovery,source_url,source_sha256,metadata_commit
CVE-2014-0198,2014-04-21,Unknown,,no,no,,no,1.0.1 to <1.0.1h; 1.0.0 to <1.0.0m,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2014-0198.json,8ce783d03b70540953c6ab9c5fff3cd43d55ad3b88718742a8c673dd620254c7,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2014-3470,2014-05-30,Unknown,Felix Gröbert and Ivan Fratrić (Google),no,no,,no,1.0.1 to <1.0.1h; 1.0.0 to <1.0.0m; 0.9.8 to <0.9.8za,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2014-3470.json,1644cc0056b7eb0f888ed63f6d6202768863a4c9c57bb6c1049d60162dbc243b,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2014-0195,2014-06-05,Unknown,Jüri Aedla,no,no,,no,1.0.1 to <1.0.1h; 1.0.0 to <1.0.0m; 0.9.8o to <0.9.8za,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2014-0195.json,119bb03054fc01476ddbb9d86e8fc6c38b7bbbd1ae1a4da9592ab7455ddae7a5,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2014-0221,2014-06-05,Unknown,Imre Rad (Search-Lab Ltd.),no,no,,no,1.0.1 to <1.0.1h; 1.0.0 to <1.0.0m; 0.9.8 to <0.9.8za,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2014-0221.json,ffe75cca1649bb83d4bde8fcab88b72fb1a7ac61a0874d35c1fab3d676f65218,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2014-0224,2014-06-05,Unknown,KIKUCHI Masashi (Lepidum Co. Ltd.),no,no,,no,1.0.1 to <1.0.1h; 1.0.0 to <1.0.0m; 0.9.8 to <0.9.8za,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2014-0224.json,7485299a6da05dfbd7b8f1ecf5c3b503136ecdd07e720b5352a7d8d10246cc68,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2014-3505,2014-08-06,Unknown,Adam Langley and Wan-Teh Chang (Google),no,no,,no,1.0.1 to <1.0.1i; 1.0.0 to <1.0.0n; 0.9.8m to <0.9.8zb,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2014-3505.json,60ec10ecfb60fca9fb11b463e32413afdfbdd640a81cad4ae235a89861e58065,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2014-3506,2014-08-06,Unknown,Adam Langley (Google),no,no,,no,1.0.1 to <1.0.1i; 1.0.0 to <1.0.0n; 0.9.8 to <0.9.8zb,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2014-3506.json,0bf02ee77975a74c8d5359991ff7ac91ab9726dba40bde826a1682c36b585052,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2014-3507,2014-08-06,Unknown,Adam Langley (Google),no,no,,no,1.0.1 to <1.0.1i; 1.0.0a to <1.0.0n; 0.9.8o to <0.9.8zb,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2014-3507.json,e19fc0d5f489b7420d7daa1a0cfb7d2ee73922c05d0463bc936daebdeb77522b,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2014-3508,2014-08-06,Unknown,Ivan Fratric (Google),no,no,,no,1.0.1 to <1.0.1i; 1.0.0 to <1.0.0n; 0.9.8 to <0.9.8zb,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2014-3508.json,18039c607cfc5ae33ac9c9d4478e6a798215443d7840130fd35a10f2224494a8,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2014-3509,2014-08-06,Unknown,Gabor Tyukasz (LogMeIn Inc),no,no,,no,1.0.1 to <1.0.1i; 1.0.0 to <1.0.0n,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2014-3509.json,3e16d24c0f38429a707d260edb4252b5b62336cde81e3b88578a41c2e81d9fcd,597a9a75044fb94b2823d111fd96ad9607a38189
